ID,Name,Type1,Type2,Stat Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Pokedex Entry,Images
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,Inept at flying high. However it can fly around very fast to protect its territory.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,A Pokemon that dates back many years. If it senses danger it flies high and away instantly.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png
23,Ekans,Poison, ,288,35,60,44,40,54,55,1,It can freely detach its jaw to swallow large prey whole. It can become too heavy to move however.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png
24,Arbok,Poison, ,448,60,95,69,65,79,80,1,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png
25,Pikachu,Electric, ,320,35,55,40,50,50,90,1,When it is angered it immediately discharges the energy stored in the pouches in its cheeks.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png
26,Raichu,Electric, ,485,60,90,55,90,80,110,1,Its tail discharges electricity into the ground protecting it from getting shocked.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
27,Sandshrew,Ground, ,300,50,75,85,20,30,40,1,It digs deep burrows to live in. When in danger it rolls up its body to withstand attacks.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
28,Sandslash,Ground, ,450,75,100,110,45,55,65,1,It is adept at attacking with the spines on its back and its sharp claws while quickly scurrying about.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
29,Nidoran,Poison, ,275,55,47,52,40,40,41,1,Females are more sensitive to smells than males. While foraging they’ll use their whiskers to check wind direction and stay downwind of predators.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png
30,Nidorina,Poison, ,365,70,62,67,55,55,56,1,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,Nidoqueen is better at defense than offense. With scales like armor this Pokemon will shield its children from any kind of attack.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png
32,Nidoran,Poison, ,273,46,57,40,40,40,50,1,The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokemon always straining its large ears.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png
33,Nidorino,Poison, ,365,61,72,57,55,55,65,1,With a horn that’s harder than diamond this Pokemon goes around shattering boulders as it searches for a moon stone.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,When it goes on a rampage it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time Nidoking calms down.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png
35,Clefairy,Fairy, ,323,70,45,48,60,65,35,1,On nights with a full moon Clefairy gather from all over and dance. Bathing in moonlight makes them float.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png
36,Clefable,Fairy, ,483,95,70,73,95,90,60,1,Said to live in quiet remote mountains this type of fairy has a strong aversion to being seen.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png
37,Vulpix,Fire, ,299,38,41,40,50,65,65,1,If it is attacked by an enemy that is stronger than itself it feigns injury to fool the enemy and escapes.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
38,Ninetales,Fire, ,505,73,76,75,81,100,100,1,Some legends claim that each of its nine tails has its own unique type of special mystical power.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,When its huge eyes waver it sings a mysteriously soothing melody that lulls its enemies to sleep.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,It has a very fine fur. Take care not to make it angry or it may inflate steadily and hit with a body slam.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves Zubat flies around with skill.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry it sometimes shares the blood it’s gathered.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,Its scientific name is Oddium wanderus. It is said to cover distances as far as 1000 feet when night falls walking on its two roots.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,The bud bursts into bloom with a bang. It then starts scattering allergenic poisonous pollen.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,Poison oozes from all over its body. It catches small bug Pokemon at night that are attracted by light.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,The wings are covered with dustlike scales. Every time it flaps its wings it looses highly toxic dust.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png
50,Diglett,Ground, ,265,10,55,25,35,45,95,1,It lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
51,Dugtrio,Ground, ,425,35,100,50,50,70,120,1,Its three heads bob separately up and down to loosen the soil nearby making it easier for it to burrow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
52,Meowth,Normal, ,290,40,45,35,40,40,90,1,All it does is sleep during the daytime. At night it patrols its territory with its eyes aglow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
53,Persian,Normal, ,440,65,70,60,65,65,115,1,Although its fur has many admirers it is tough to raise as a pet because of its fickle meanness.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
54,Psyduck,Water, ,320,50,52,48,65,50,55,1,It is constantly wracked by a headache. When the headache turns intense it begins using mysterious powers.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
55,Golduck,Water, ,500,80,82,78,95,80,85,1,When it swims at full speed using its long webbed limbs its forehead somehow begins to glow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
56,Mankey,Fighting, ,305,40,80,35,35,45,70,1,It lives in groups in the treetops. If it loses sight of its group it becomes infuriated by its loneliness.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
57,Primeape,Fighting, ,455,65,105,60,60,70,95,1,It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
58,Growlithe,Fire, ,350,55,70,45,70,50,60,1,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
59,Arcanine,Fire, ,555,90,110,80,100,80,95,1,An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
60,Poliwag,Water, ,300,40,50,40,40,40,90,1,The swirl on its belly is its insides showing through the skin. It appears more clearly after Poliwag eats.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
61,Poliwhirl,Water, ,385,65,65,65,50,50,90,1,Its two legs are well developed. Even though it can live on the ground it prefers living in water.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,Although it’s skilled in a style of dynamic swimming that uses all its muscles for some reason it lives on dry land.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
63,Abra,Psychic, ,310,25,20,15,105,55,90,1,This Pokemon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokemon wields.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
64,Kadabra,Psychic, ,400,40,35,30,120,70,105,1,Using its psychic power Kadabra levitates as it sleeps. It uses its springy tail as a pillow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
65,Alakazam,Psychic, ,500,55,50,45,135,95,120,1,It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it from birth till death.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
66,Machop,Fighting, ,305,70,80,50,35,35,35,1,Its whole body is composed of muscles. Even though it’s the size of a human child it can hurl 100 grown-ups.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
67,Machoke,Fighting, ,405,80,100,70,50,60,45,1,Its muscular body is so powerful it must wear a power-save belt to be able to regulate its motions.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
68,Machamp,Fighting, ,505,90,130,80,65,85,55,1,It punches with its four arms at blinding speed. It can launch 1000 punches in two seconds.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,No matter what Bellsprout is doing if it detects movement nearby it will immediately react by reaching out with its thin vines.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,Even though it is filled with acid it does not melt because it also oozes a protective fluid.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,It lures prey into its mouth with a nectar-like aroma. The helpless prey is melted with a dissolving fluid.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,When the tide goes out dehydrated Tentacool can be found left behind on the shore.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,On the rare occasions that large outbreaks of Tentacruel occur all fish Pokemon disappear from the surrounding sea.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,At rest it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,A slow walker it rolls to move. It pays no attention to any object that happens to be in its path.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,It is enclosed in a hard shell that is as rugged as slabs of rock. It sheds skin once a year to grow larger.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
77,Ponyta,Fire, ,410,50,85,55,65,65,90,1,About an hour after birth Ponyta’s fiery mane and tail grow out giving the Pokemon an impressive appearance.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
78,Rapidash,Fire, ,500,65,100,70,80,80,105,1,It gallops at nearly 150 mph. With its mane blazing ferociously it races as if it were an arrow.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,It is incredibly slow and dopey. It takes five seconds for it to feel pain when under attack.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,When a Slowpoke went hunting in the sea its tail was bitten by a Shellder. That made it evolve into Slowbro.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,The electromagnetic waves emitted by the units at the sides of its head expel antigravity which allows it to float.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,Three Magnemite are linked by a strong magnetic force. Earaches will occur if you get too close.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,1,It can’t live without the stalk it holds. That’s why it defends the stalk from attackers with its life.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,Its twin heads have exactly the same genes and battle in perfect sync with each other.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,It now has three hearts and three sets of lungs. Though it can’t run as fast as Doduo Dodrio can keep running for longer stretches of time.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png
86,Seel,Water, ,325,65,45,55,45,70,45,1,The protrusion on its head is very hard. It is used for bashing through thick ice.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,It sleeps under shallow ocean waters during the day then looks for food at night when it’s colder.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png
88,Grimer,Poison, ,325,80,80,50,40,50,25,1,Born from sludge these Pokemon now gather in polluted places and increase the bacteria in their bodies.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png
89,Muk,Poison, ,500,105,105,75,65,100,50,1,It’s thickly covered with a filthy vile sludge. It is so toxic even its footprints contain poison.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png
90,Shellder,Water, ,305,30,65,100,45,25,40,1,It is encased in a shell that is harder than diamond. Inside however it is surprisingly tender.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,Cloyster that live in seas with harsh tidal currents grow large sharp spikes on their shells.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,It wraps its opponent in its gas-like body slowly weakening its prey by poisoning it through the skin.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/093.png
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,To steal the life of its target it slips into the prey’s shadow and silently waits for an opportunity.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/094.png
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,As it digs through the ground it absorbs many hard objects. This is what makes its body so solid.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/095.png
96,Drowzee,Psychic, ,328,60,48,45,43,90,42,1,It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/096.png
97,Hypno,Psychic, ,483,85,73,70,73,115,67,1,When it locks eyes with an enemy it will use a mix of psi moves such as Hypnosis and Confusion.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/097.png
98,Krabby,Water, ,325,30,105,90,25,25,50,1,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/098.png
99,Kingler,Water, ,475,55,130,115,50,50,75,1,The larger pincer has 10000-horsepower strength. However it is so heavy it is difficult to aim.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/099.png
100,Voltorb,Electric, ,330,40,30,50,55,55,100,1,It rolls to move. If the ground is uneven a sudden jolt from hitting a bump can cause it to explode.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/100.png
101,Electrode,Electric, ,490,60,50,70,80,80,150,1,The more energy it charges up the faster it gets. But this also makes it more likely to explode.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/101.png
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,If you touch one of Exeggcute’s heads mistaking it for an egg the other heads will quickly gather and attack you in a swarm.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/102.png
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,1,It is called the Walking Jungle. Each of the nuts has a face and a will of its own.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png
104,Cubone,Ground, ,320,50,50,95,40,50,35,1,When the memory of its departed mother brings it to tears its cries echo mournfully within the skull it wears on its head.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/104.png
105,Marowak,Ground, ,425,60,80,110,50,80,45,1,This Pokemon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely using a bone as a weapon.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/105.png
106,Hitmonlee,Fighting, ,455,50,120,53,35,110,87,1,At the exact moment it lands a kick on its target Hitmonlee hardens the muscles on the sole of its foot maximizing the power of the kick.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/106.png
107,Hitmonchan,Fighting, ,455,50,105,79,35,110,76,1,It corners its foes with combo punches from both sides then finishes them off with a single straight punch launched at over 300 mph.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/107.png
108,Lickitung,Normal, ,385,90,55,75,60,75,30,1,If this Pokemon’s sticky saliva gets on you and you don’t clean it off an intense itch will set in. The itch won’t go away either.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/108.png
109,Koffing,Poison, ,340,40,65,95,60,45,35,1,Toxic gas is held within its thin balloon-shaped body so it can cause massive explosions.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/109.png
110,Weezing,Poison, ,490,65,90,120,85,70,60,1,Top-grade perfume is made using its internal poison gases by diluting them to the highest level.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/110.png
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,Rhyhorn claims an area with over a six mile radius as its territory. It apparently forgets where this territory is when running however.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/111.png
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,The horn of a Rhydon is powerful enough to crush raw diamonds. These Pokemon polish their horns by bashing them together.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/112.png
113,Chansey,Normal, ,450,250,5,5,35,105,50,1,This kindly Pokemon lays highly nutritious eggs and shares them with injured Pokemon or people.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/113.png
114,Tangela,Grass, ,435,65,55,115,100,40,60,1,Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off this Pokemon’s true appearance remains a mystery.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/114.png
115,Kangaskhan,Normal, ,490,105,95,80,40,80,90,1,Although it’s carrying its baby in a pouch on its belly Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/115.png
116,Horsea,Water, ,295,30,40,70,70,25,60,1,If attacked—even by a large enemy—Horsea effortlessly swims to safety by utilizing its well-developed dorsal fin.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/116.png
117,Seadra,Water, ,440,55,65,95,95,45,85,1,The male raises the young. If it is approached while caring for young it will use its toxic spines to fend off the intruder.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/117.png
118,Goldeen,Water, ,320,45,67,60,35,50,63,1,Its dorsal pectoral and tail fins wave elegantly in water. That is why it is known as the Water Dancer.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/118.png
119,Seaking,Water, ,450,80,92,65,65,80,68,1,In autumn its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/119.png
120,Staryu,Water, ,340,30,45,55,70,55,85,1,If you visit a beach at the end of summer you’ll be able to see groups of Staryu lighting up in a steady rhythm.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/120.png
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,This Pokemon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/121.png
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,It is a pantomime expert that can create invisible but solid walls using miming gestures.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/122.png
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,It slashes through grass with its sharp scythes moving too fast for the human eye to track.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/123.png
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,In certain parts of Galar Jynx was once feared and worshiped as the Queen of Ice.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/124.png
125,Electabuzz,Electric, ,490,65,83,57,95,85,105,1,Its body constantly discharges electricity. Getting close to it will make your hair stand on end.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/125.png
126,Magmar,Fire, ,495,65,95,57,100,85,93,1,Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2200 degrees Fahrenheit.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/126.png
127,Pinsir,Bug, ,500,65,125,100,55,70,85,1,These Pokemon judge one another based on pincers. Thicker more impressive pincers make for more popularity with the opposite gender.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/127.png
128,Tauros,Normal, ,490,75,100,95,40,70,110,1,When it targets an enemy it charges furiously while whipping its body with its long tails.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/128.png
129,Magikarp,Water, ,200,20,10,55,15,20,80,1,An underpowered pathetic Pokemon. It may jump high on rare occasions but never more than seven feet.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/129.png
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,Once it appears it goes on a rampage. It remains enraged until it demolishes everything around it.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/130.png
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,It ferries people across the sea on its back. It may sing an enchanting cry if it is in a good mood.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/131.png
132,Ditto,Normal, ,288,48,48,48,48,48,48,1,Its transformation ability is perfect. However if made to laugh it can’t maintain its disguise.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/132.png
133,Eevee,Normal, ,325,55,55,50,45,65,55,1,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/133.png
134,Vaporeon,Water, ,525,130,65,60,110,95,65,1,It lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/134.png
135,Jolteon,Electric, ,525,65,65,60,110,95,130,1,It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/135.png
136,Flareon,Fire, ,525,65,130,60,95,110,65,1,Inhaled air is carried to its flame sac heated and exhaled as fire that reaches over 3000 degrees Fahrenheit.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/136.png
137,Porygon,Normal, ,395,65,60,70,85,75,40,1,It is an artificial Pokemon. Since it doesn’t breathe people are excited by its potential to be useful in any environment.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/137.png
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,Because some Omanyte manage to escape after being restored or are released into the wild by people this species is becoming a problem.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/138.png
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,Weighed down by a large and heavy shell Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/139.png
